index,news_id,pos_words,pos_weights,neg_words,neg_weights
11,3571,"[""地区"", ""通办"", ""上次"", ""重庆"", ""如"", ""95"", ""能"", ""具体"", ""补办"", ""电子""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","["","", ""可以"", ""清单"", ""实际操作"", ""两地"", ""协同"", ""交警队"", ""、"", ""，"", ""利好"", ""回老家"", ""起"", ""落地"", ""优化"", ""成渝"", ""熟悉"", ""涵盖"", ""卡顿"", ""报销"", ""2020""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
12,6314,"["","", ""应"", ""属实"", ""相信"", ""可能"", ""核实"", ""下结论"", ""关键"", ""。""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""正规渠道"", ""违法行为"", ""武汉"", ""警察"", ""我们"", ""都"", ""形象"", ""高度重视"", ""公正司法"", ""中国政府"", ""公众"", ""透明"", ""假新闻"", ""秉持"", ""信息"", ""网络"", ""公正处理"", ""严格遵守"", ""治安"", ""执法监督"", ""官方""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
13,4506,"[""公开"", ""自缢身亡"", ""问题"", ""需要"", ""讨论"", ""心理健康"", ""可惜"", ""过"", ""哀悼""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","["","", ""他"", ""全球"", ""和"", ""我"", ""摇滚乐"", ""。"", ""太"", ""童年阴影"", ""抑郁症"", ""·"", ""嗓音"", ""性侵"", ""童年"", ""关键因素"", ""长期"", ""年仅"", ""Bennington"", ""天堂"", ""在"", ""、""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
14,3245,"[""需"", ""区分"", ""最终"", ""符合"", ""具备"", ""击毙"", ""但"", ""额外"", ""和"", ""。""]","[3e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""，"", ""社会规范"", ""中国空军"", ""网络"", ""言论"", ""谨言慎行"", ""凌是"", ""公众"", ""徐勇"", ""活跃"", ""之"", ""以"", ""官方"", ""关注"", ""人物"", ""言论自由"", ""试飞"", ""后"", ""评论者"", ""不当""]","[-1e-06, -1e-06, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
15,1361,"[""注意"", ""时应"", ""核实"", ""联系方式"", ""。"", ""真实"", ""有效性"", ""具体"", ""细节"", ""家属"", ""时间"", ""通报""]","[2e-06, 2e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.0, 0.0]","[""中山公园"", ""银川"", ""人流量"", ""存在"", ""事件"", ""公共场所"", ""监控"", ""，"", ""较大"", ""转发"", ""设施"", ""有"", ""完善"", ""当地"", ""知名"", ""媒体"", ""是否"", ""广泛""]","[-2e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -0.0, -0.0]"
16,4479,"[""永康"", ""歌手"", ""信息"", ""提前"", ""布展"", ""演员"", ""安排"", ""调整"", ""知名"", ""后"", ""大量"", ""有"", ""著名"", ""粉丝"", ""仍"", ""曾"", ""官方""]","[2.7e-05, 2.3e-05, 2.3e-05, 2.2e-05, 2e-05, 1.8e-05, 1.3e-05, 1.3e-05, 1.2e-05, 1.1e-05, 1e-05, 1e-05, 8e-06, 7e-06, 7e-06, 6e-06, 5e-06]","[""张国荣"", ""需"", ""具体"", ""或"", ""和"", ""核实"", ""香港"", ""。"", ""为"", ""可能"", ""，"", ""多组"", ""2003""]","[-3e-05, -2.6e-05, -2.3e-05, -1.5e-05, -1.2e-05, -1.2e-05, -9e-06, -9e-06, -9e-06, -7e-06, -6e-06, -6e-06, -6e-06]"
17,2472,"["","", ""算法"", ""救援"", ""通常"", ""和"", ""是因为"", ""是"", ""不是"", ""涨价"", ""供需"", ""航司"", ""变化""]","[1.2e-05, 3e-06, 2e-06, 2e-06, 2e-06, 2e-06, 2e-06, 2e-06, 2e-06, 1e-06, 1e-06, 1e-06]","[""，"", ""雅安"", ""地震"", ""民航局"", ""救灾"", ""航空公司"", ""现象"", ""报道"", ""出行"", ""绿色通道"", ""明确规定"", ""争议"", ""了"", ""引发"", ""严禁"", ""。"", ""部分"", ""有""]","[-5e-06, -5e-06, -4e-06, -4e-06, -3e-06, -3e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -2e-06, -1e-06]"
18,200,"[""。"", ""不同"", ""例如"", ""伦敦"", ""数字"", ""可能"", ""评估"", ""国"", ""而"", ""以"", ""直接""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""场馆"", ""中国"", ""注重"", ""，"", ""忽略"", ""安保"", ""奥运会"", ""城市"", ""物价"", ""此外"", ""大量"", ""则"", ""举办"", ""巨大"", ""投入"", ""可持续性"", ""形象"", ""也"", ""存在""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
19,3036,"["","", ""需要"", ""具体"", ""明确规定"", ""\"""", ""劝"", ""身份"", ""《""]","[1e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""缺乏"", ""城管"", ""报道"", ""占"", ""涉事"", ""半小时"", ""中"", ""，"", ""时有发生"", ""流动"", ""记录仪"", ""这么"", ""？"", ""城市"", ""致命"", ""不过"", ""太假"", ""网传"", ""都"", ""突发"", ""围观"", ""年""]","[-2e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
20,5528,"[""文化部"", ""网络"", ""音乐"", ""乱七八糟"", ""年"", ""自审"", ""并非"", ""新鲜事"", ""监管"", ""了"", ""净化"", ""影响"", ""加强"", ""全新"", ""有"", ""不会"", ""根据"", ""强化"", ""管理工作""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","["","", ""制度"", ""明确"", ""机制"", ""和"", ""，"", ""建立"", ""标准"", ""类似"", ""什么"", ""的""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
21,3912,"[""*""]",[3e-05],"[""相关"", ""："", ""背景"", ""知识""]","[-1.5e-05, -1.4e-05, -5e-06, -5e-06]"
22,5307,"[""市场"", ""改革"", ""监管"", ""国务院"", ""进行"", ""投资者"", ""加强"", ""此前"", ""简化"", ""中国"", ""重要"", ""审查"", ""企业"", ""理性"", ""提高"", ""举措"", ""是"", ""市场化"", ""近年来"", ""效率"", ""了"", ""保护"", ""看待""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""注册"", ""跟上"", "","", ""加快进度"", ""制"", ""早日"", ""，""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
23,3395,"[""缺乏"", ""应急"", ""发生"", ""事件"", ""媒体"", ""濮阳县"", ""楼道"", ""报道"", ""安全意识"", ""踩踏"", ""已有"", ""造成"", ""加强"", ""过"", ""，"", ""安全"", ""后"", ""主要""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""放学"", ""原因"", ""真实"", ""包括"", ""薄弱"", ""必须"", ""在"", ""。"", ""学生"", ""的"", ""管理"", ""小学""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
24,967,"[""。"", ""通常"", ""报告"", ""致命"", ""文献"", ""中未见"", ""不太可能"", ""只会"", ""情况"", ""电压""]","[3e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.0]","[""安全隐患"", ""手机"", ""，"", ""存在"", ""充电器"", ""人体"", ""目前"", ""刺痛感"", ""不会"", ""属于"", ""充电"", ""不过"", ""放入"", ""案例"", ""造成"", ""收纳"", ""家长"", ""因"", ""伤害"", ""为""]","[-4e-06, -2e-06, -2e-06, -2e-06, -2e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06, -1e-06]"
25,4869,"["","", ""遵守"", ""纠纷"", ""所有"", ""管住"", ""报警"", ""《"", ""或"", ""他人"", ""附近""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""游客"", ""围栏"", ""农作物"", ""警示牌"", ""行为"", ""村民"", ""涉及"", ""视频"", ""问题"", ""也"", ""社会"", ""执法"", ""违法行为"", ""太"", ""政府"", ""旁"", ""偷盗"", ""公路"", ""使用暴力"", ""就""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
26,3385,"[""便民服务"", ""交通"", ""出行"", ""季风气候"", ""海口"", ""大雾"", ""，"", ""这种"", ""北部"", ""提供"", ""出现"", ""加强"", ""海南岛"", ""影响"", ""当地"", ""。"", ""容易"", ""志愿者"", ""每次"", ""疏导"", ""位于"", ""政府"", ""工作人员"", ""多亏"", ""真是""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","["","", ""坚守岗位"", ""的"", ""这是"", ""在""]","[-0.0, -0.0, -0.0, -0.0, -0.0]"
27,6142,"[""表达"", ""共鸣"", ""武汉大学"", ""获奖作品"", ""引发"", ""校园文化"", ""武大"", ""年轻人"", ""遗憾"", ""行情"", ""现在"", ""活动"", ""句子"", ""假设"", ""曾"", ""一项"", ""吗""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","["","", ""的"", ""无数"", ""诗"", ""世界"", ""名不虚传"", ""深沉"", ""魅力"", ""第一名"", ""氛围"", ""想起"", ""高级"", ""而""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
28,2729,"[""官方"", ""媒体"", ""公开"", ""少见"", ""董事长"", ""较为"", ""的"", ""多属"", ""引发"", ""罕见"", ""涉及"", ""事"", ""但"", ""规定"", ""轰动一时"", ""严格"", ""还是""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""璟"", "","", ""袁宝"", ""证实"", ""最后"", ""庭审"", ""说法"", ""兄弟"", ""该"", ""雇凶"", ""富豪"", ""猜测"", ""2006""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
29,1323,"[""需要"", ""为准"", ""司法机关"", ""中国"", ""或"", ""案例"", ""的"", ""权钱交易"", ""确认"", ""与"", ""具体""]","[7.8e-05, 7e-05, 6.7e-05, 5.4e-05, 4.4e-05, 4.1e-05, 3.8e-05, 3.7e-05, 3.6e-05, 3e-05, 2.9e-05]","[""问题"", ""曝出"", ""官方"", ""县级市"", ""烟台市"", ""严重"", ""存在"", ""招远市"", ""曾多次"", ""当地"", ""违规"", ""下辖"", ""著称"", ""等"", ""丰富"", ""通报"", ""公安系统"", ""属于"", ""资源""]","[-8e-05, -6.4e-05, -6.1e-05, -5.5e-05, -4.7e-05, -4.6e-05, -4.3e-05, -4e-05, -3.9e-05, -3.9e-05, -3.9e-05, -3.8e-05, -3.7e-05, -3.2e-05, -3.1e-05, -2.7e-05, -2.1e-05, -2e-05, -1.9e-05]"
30,3343,"[""。"", ""具体"", ""详细"", ""孩子"", ""通常"", ""承诺"", ""，"", ""会""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""师德"", ""加强"", ""近年来"", ""事件"", ""取消"", ""曝光"", ""违法行为"", ""教师"", ""歪风邪气"", ""整治"", ""？"", ""全国"", ""教师队伍"", ""丑恶"", ""社会"", ""公开"", ""严肃处理"", ""建设"", ""现在"", ""》"", ""太过分"", ""中国""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
31,3145,"[""逐步完善"", ""生活"", ""安全网"", ""，"", ""痛心"", ""现象"", ""了"", ""社会保障"", ""上"", ""铁饭碗"", ""年"", ""陷入困境"", ""国企改革"", ""不"", ""尚"", ""我们"", ""历史"", ""政府"", ""数千万"", ""、""]","[1e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","["","", ""不同"", ""体系"", ""失去"", ""希望"", ""再"", ""查证"", ""核实"", ""情况"", ""具体""]","[-1e-06, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
32,5976,"[""中国"", ""分析"", ""死亡"", ""其"", ""和"", ""高精度"", ""或""]","[5e-05, 4e-05, 3.5e-05, 2.7e-05, 2.6e-05, 2.4e-05, 2.4e-05]","[""存在"", ""养殖"", ""记载"", ""，"", ""海产品"", ""北斗"", ""对"", ""监管"", ""引发"", ""发现"", ""獐子"", ""市场"", ""自主"", ""有"", ""采捕"", ""质疑"", ""进行"", ""称"", ""多次"", ""功能"", ""相关"", ""定位"", ""。""]","[-9.1e-05, -8.1e-05, -5.3e-05, -4.6e-05, -4.4e-05, -4e-05, -3.9e-05, -3.9e-05, -3.7e-05, -3.4e-05, -3.3e-05, -3.2e-05, -2.9e-05, -2.9e-05, -2.7e-05, -2.7e-05, -2.6e-05, -2.6e-05, -2.5e-05, -2.4e-05, -2e-05, -1.9e-05, -1.4e-05]"
33,1923,"[""的"", ""或"", ""此处"", ""。"", ""荒谬性""]","[0.0, 0.0, 0.0, 0.0, 0.0]","[""湖北省"", ""防控"", ""疫情"", ""，"", ""全省"", ""武汉"", ""用语"", ""初期"", ""曾"", ""此后"", ""网络"", ""极低"", ""大规模"", ""强调"", ""交通管制"", ""封城"", ""”"", ""过"", ""可能性"", ""严格"", ""封省"", ""当前"", ""乙管"", ""采取"", ""暗示""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
34,1916,"[""疫情"", ""威宁"", ""宁波"", ""未经"", ""，"", ""出现"", ""谣言"", ""防疫"", ""此类"", ""一看"", ""朋友圈"", ""引发"", ""武汉"", ""期间"", ""浙江"", ""上次"", ""容易"", ""组成"", ""恐慌"", ""渠道"", ""省份"", ""逃避""]","[2e-06, 2e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.0, 0.0]","["","", ""转发"", ""查证"", ""确诊"", ""为准"", ""造假"", ""前应"", ""。""]","[-1e-06, -1e-06, -1e-06, -1e-06, -0.0, -0.0, -0.0, -0.0]"
35,5609,"[""需"", ""具体"", ""提供"", ""他人"", ""确认"", ""捏造事实"", ""条"", ""证据"", ""核实"", ""需要"", ""（"", ""罚款"", ""多次""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""淫秽"", ""治安管理"", ""调查"", ""高校"", ""不会"", ""事件"", ""生活"", ""难以"", ""违法行为"", ""公然侮辱"", ""公开信"", ""诽谤"", ""网络"", ""正常"", ""发送"", ""较重"", ""采取行动""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
36,1171,"["","", ""申冤"", ""年"", ""2023"", ""颜料"", ""。"", ""早传"", ""包括"", ""3"", ""\"""", ""溯源"", ""拍"", ""案例"", ""这"", ""密""]","[6.2e-05, 1e-05, 9e-06, 8e-06, 8e-06, 7e-06, 5e-06, 5e-06, 5e-06, 4e-06, 4e-06, 4e-06, 4e-06, 3e-06, 3e-06]","[""，"", ""无"", ""路灯"", ""公开"", ""都"", ""居民区"", ""主城区"", ""不"", ""媒体"", ""恶性案件"", ""公安部"", ""消费"", ""交叉口"", ""事件"", ""常见""]","[-2.5e-05, -1.7e-05, -1.5e-05, -1.5e-05, -1.4e-05, -1.3e-05, -1.3e-05, -1.2e-05, -1.1e-05, -1.1e-05, -1.1e-05, -1e-05, -1e-05, -9e-06, -8e-06]"
37,736,"[""具体"", ""未经"", ""证实"", ""但"", ""被"", ""基金"", ""交易"", ""这个"", ""未"", ""了"", ""这"", ""该案""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""缺乏"", ""戏剧化"", ""证据"", ""，"", ""官方"", ""情妇"", ""细节"", ""使用"", ""曝光"", ""后"", ""外逃"", ""太"", ""这种"", ""32"", ""秦裕"", ""是"", ""社保"", ""高官""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
38,797,"[""没有"", ""透明"", ""媒体"", ""掉包"", ""依法"", ""说法"", ""轻信"", ""被"", ""篡改"", "","", ""每年""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""成绩"", ""假"", ""申请"", ""。"", ""确保"", ""或"", ""处理"", ""怎么"", ""若"", ""部门"", ""各地"", ""网络"", ""过程"", ""完善"", ""监督机制"", ""会"", ""和"", ""是"", ""可能性""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
39,2686,"[""标志"", ""利用"", ""月"", ""未公开"", ""2"", ""马丁"", ""其"", ""11"", ""30"", ""·"", ""都"", ""之一"", ""公布"", ""最"", ""儿童"", ""的"", ""波士顿""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""岁"", ""后"", ""奇怪"", ""常"", ""260"", ""太"", ""为"", ""遇难"", ""线"", ""连"", "","", ""新闻"", ""现在""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
